# 1 yaw   2 pitch   3 maxang   4 error   5 righterror   6 downerror
60 55 73.334236  0.998640  0.997864  0.998026 
60 60 75.522491  0.999688  0.999636  0.999661 
60 65 77.800926  0.999900  0.999813  0.999814 
60 70 80.153450  0.999998  0.999998  0.999999 
60 75 82.564529  0.999934  0.999836  0.999801 
60 80 85.019073  0.998064  0.996149  0.995856 

65 5 65.101631  0.000000  -0.003964  0.003847 
65 10 65.405235  0.000000  -0.020808  0.020694 
65 15 65.907066  0.000000  -0.017349  0.016392 
65 20 66.601044  0.000000  -0.062223  0.064203 
65 25 67.478989  0.000000  -0.147729  0.151255 
65 30 68.530983  0.000000  -0.103662  0.105469 
65 35 69.745636  0.000000  0.994035  -0.740991 
65 40 71.110481  0.975730  0.890120  0.895838 
65 45 72.612289  0.985256  0.969150  0.973259 
65 50 74.237305  0.993329  0.986400  0.987811 
65 55 75.971542  0.999664  0.995772  0.990128 
65 60 77.800926  0.999310  0.998733  0.998799 
65 65 79.711418  0.999943  0.999972  0.999949 
65 70 81.689133  0.999964  0.999841  0.999801 
65 75 83.720329  0.999854  0.999666  0.999663 
65 80 85.791458  0.999564  0.997738  0.997099 

70 5 70.079338  0.000000  -0.006185  0.006221 
70 10 70.316505  0.000000  -0.023320  0.023624 
70 15 70.709007  0.000000  -0.020382  0.019806 
70 20 71.252762  0.000000  -0.029338  0.029586 
70 25 71.942245  0.000000  -0.058674  0.059593 
70 30 72.770607  0.000000  -0.234630  0.236180 
70 35 73.729858  0.000000  0.992213  -0.546896 
70 40 74.811073  0.000000  0.994624  -0.672541 
70 45 76.004555  0.000000  -0.607039  0.540791 
70 50 77.299995  0.997091  0.975727  0.973225 
70 55 78.686646  0.997792  0.994168  0.994468 
70 60 80.153450  0.999292  0.998090  0.998104 
70 65 81.689133  0.999879  0.999700  0.999712 
70 70 83.282288  0.999656  0.998672  0.998669 
70 75 84.921455  0.999643  0.998727  0.998720 
70 80 86.595131  0.999875  0.999336  0.998330 

75 5 75.058411  0.898580  0.090304  0.091755 
75 10 75.233109  0.000000  -0.021229  0.020953 
75 15 75.522491  0.894202  0.256703  0.049097 
75 20 75.923904  0.000000  0.010010  -0.010056 
75 25 76.433739  0.000000  -0.137324  0.138487 
75 30 77.047462  0.000000  -0.264591  0.250232 
75 35 77.759705  0.000000  -0.428023  0.408508 
75 40   -1 -1 -1
75 45 79.454712  0.000000  -0.576583  0.563896 
75 50 80.423424  0.000000  -0.659731  0.651663 
75 55 81.462746  0.997710  0.987958  0.988313 
75 60 82.564529  0.998915  0.994066  0.994165 
75 65 83.720329  0.999843  0.998969  0.998850 
75 70 84.921455  0.999874  0.999996  0.999839 
75 75 86.159035  0.999895  0.998668  0.998576 
75 80 87.424065  0.999852  0.999730  0.999711 

80 5 80.038437  0.952721  0.092884  0.013625 
80 10 80.153442  0.000000  -0.047790  0.048064 
80 15 80.344063  0.000000  -0.011083  0.011088 
80 20 80.608711  0.000000  -0.144992  0.145472 
80 25 80.945221  0.000000  -0.081128  0.081173 
80 30 81.350838  0.000000  -0.249744  0.251122 
80 35 81.822266  0.000000  -0.197556  0.198245 
80 40   -1 -1 -1
80 45   -1 -1 -1
80 50 83.591354  0.000000  -0.615745  0.785796 
80 55   -1 -1 -1
80 60 85.019073  0.999860  0.998985  0.999021 
80 65 85.791458  0.999268  0.993671  0.993705 
80 70 86.595131  0.999932  0.998294  0.998239 
80 75 87.424065  0.998437  0.980946  0.980960 
80 80 88.272057  0.999981  0.999907  0.999906 

